COMMON_NAME,LATITUDE,LONGITUDE
Mountain_Chickadee,38.6881227,-120.0670481
Mountain_Chickadee,38.713225,-119.955269
Mountain_Chickadee,38.630718,-119.911797
Mountain_Chickadee,38.743787,-119.934163
Mountain_Chickadee,38.715263,-119.922272
Mountain_Chickadee,38.64053,-119.91571
Mountain_Chickadee,38.7302507,-119.6523142
Mountain_Chickadee,38.4740013,-119.9723282
Mountain_Chickadee,38.4345174,-120.0089942
Mountain_Chickadee,38.47851,-120.00402
Mountain_Chickadee,38.4446822,-119.9680424
Mountain_Chickadee,38.6632036,-120.0389578
Mountain_Chickadee,38.4335558,-119.9711323
Mountain_Chickadee,38.6945372,-119.7799659
Mountain_Chickadee,38.7874087,-119.9411774
Mountain_Chickadee,38.5151314,-119.9147415
Mountain_Chickadee,38.7460172,-119.7780132
Mountain_Chickadee,38.4795291,-119.9990273
Mountain_Chickadee,38.5472263,-119.8087192
Mountain_Chickadee,38.5911138,-119.7846222
Mountain_Chickadee,38.5472263,-119.8087192
Mountain_Chickadee,38.6935826,-119.9884272
Mountain_Chickadee,38.7771049,-119.9176598
Mountain_Chickadee,38.6881227,-120.0670481
Mountain_Chickadee,38.7460172,-119.7780132
Mountain_Chickadee,38.4723651,-120.0459123
Mountain_Chickadee,38.3288644,-119.6368217
Mountain_Chickadee,38.7590362,-119.9389458
Mountain_Chickadee,38.6807974,-120.0009838
Mountain_Chickadee,38.429828,-120.009535
Mountain_Chickadee,38.6935826,-119.9884272
Mountain_Chickadee,38.6935826,-119.9884272
Mountain_Chickadee,38.4187767,-119.8090239
Mountain_Chickadee,38.3298996,-119.6366286
Mountain_Chickadee,38.6245152,-119.9353409
Mountain_Chickadee,38.6245152,-119.9353409
Mountain_Chickadee,38.63248,-119.7205
Mountain_Chickadee,38.6693613,-119.9931049
Mountain_Chickadee,38.6863807,-120.0091553
Mountain_Chickadee,38.4171826,-119.7491741
Mountain_Chickadee,38.6868214,-119.9905732
Mountain_Chickadee,38.6868214,-119.9905732
Mountain_Chickadee,38.429828,-120.009535
Mountain_Chickadee,38.3463931,-119.6393538
Mountain_Chickadee,38.6945372,-119.7799659
Mountain_Chickadee,38.6935826,-119.9884272
Mountain_Chickadee,38.6935826,-119.9884272
Mountain_Chickadee,38.7590362,-119.9389458
Mountain_Chickadee,38.5038892,-119.9376513
Mountain_Chickadee,38.495021,-119.9811316
Mountain_Chickadee,38.5075138,-119.9384311
Mountain_Chickadee,38.5075138,-119.9384311
Mountain_Chickadee,38.5075138,-119.9384311
Mountain_Chickadee,38.5075138,-119.9384311
Mountain_Chickadee,38.7590362,-119.9389458
Mountain_Chickadee,38.4795291,-119.9990273
Mountain_Chickadee,38.4795291,-119.9990273
Mountain_Chickadee,38.4669969,-120.0399685
Mountain_Chickadee,38.4669969,-120.0399685
Mountain_Chickadee,38.4669969,-120.0399685
Mountain_Chickadee,38.4669969,-120.0399685
Mountain_Chickadee,38.5059302,-119.9386883
Mountain_Chickadee,38.4925629,-119.9700594
Mountain_Chickadee,38.4669969,-120.0399685
Mountain_Chickadee,38.5174094,-119.5701259
Mountain_Chickadee,38.4669969,-120.0399685
Mountain_Chickadee,38.6989752,-119.9688148
Mountain_Chickadee,38.5059302,-119.9386883
Mountain_Chickadee,38.398115,-119.8065948
Mountain_Chickadee,38.5472263,-119.8087192
