"longitude","latitude","landuse","mean_temp","mean_pres","site_id","MOCH","MOBL","LEWO","BBMW","Evergreen_forest","Open_shrub","Wood_sav","Sav","Grass","crop","urban"
-123.2940674,38.908133,1,120.916664123535,100.5,67,0,0,0,0,1,0,0,0,0,0,0
-123.2541561,39.7391384,8,124.666664123535,97.0833358764648,68,0,0,0,0,0,0,1,0,0,0,0
-123.2953548,40.2961556,1,62.6666679382324,121.75,69,0,0,0,0,1,0,0,0,0,0,0
-123.2032156,40.541004,8,117,80.5833358764648,70,0,0,1,0,0,0,1,0,0,0,0
-123.1889513,39.1124073,8,141.83332824707,82.8333358764648,71,0,0,0,0,0,0,1,0,0,0,0
-123.183745,39.144975,8,142,82.9166641235352,72,0,0,0,0,0,0,1,0,0,0,0
-123.1960058,39.1996105,8,141.5,84.25,73,0,0,0,0,0,0,1,0,0,0,0
-123.1637764,39.2299594,8,141,87.0833358764648,74,0,0,0,0,0,0,1,0,0,0,0
-123.1922722,40.0929123,1,80.4166641235352,113.5,75,0,0,0,0,1,0,0,0,0,0,0
-123.1935167,40.4660171,1,108.333335876465,87.5,76,0,0,0,0,1,0,0,0,0,0,0
-123.1906537,40.552436,8,117.416664123535,78.75,77,0,0,0,0,0,0,1,0,0,0,0
-123.11511,38.44961,10,127.833335876465,85.3333358764648,78,0,0,0,0,0,0,0,0,1,0,0
-123.105669,38.8758329,8,131.66667175293,92,79,0,0,0,0,0,0,1,0,0,0,0
-123.1037593,38.9862447,8,143.83332824707,81.4166641235352,80,0,0,0,0,0,0,1,0,0,0,0
-123.1424367,39.0564257,8,141.41667175293,83,81,0,0,0,0,0,0,1,0,0,0,0
-123.1286716,39.1263233,8,133.08332824707,91.5833358764648,82,0,0,0,0,0,0,1,0,0,0,0
-123.1157756,39.2571634,8,138.75,89.75,83,0,0,0,0,0,0,1,0,0,0,0
-123.1088448,39.3025242,8,141.83332824707,88.3333358764648,84,0,0,0,0,0,0,1,0,0,0,0
-123.13575,39.3215998,8,138.25,92.9166641235352,85,0,0,0,0,0,0,1,0,0,0,0
-123.1496572,39.8370466,8,132.41667175293,86.1666641235352,86,0,0,0,0,0,0,1,0,0,0,0
-123.110275,40.388711,1,79.5833358764648,105.166664123535,87,0,0,0,0,1,0,0,0,0,0,0
-123.0595345,38.3508782,10,128.5,83.8333358764648,89,0,0,0,0,0,0,0,0,1,0,0
-123.0911047,38.5545624,8,129.16667175293,97.75,91,0,0,0,0,0,0,1,0,0,0,0
-123.0503082,38.7321255,1,136.83332824707,94.9166641235352,92,0,0,0,0,1,0,0,0,0,0,0
-123.0872583,38.9134548,8,138.08332824707,86.9166641235352,93,0,0,0,0,0,0,1,0,0,0,0
-123.0847102,39.0020417,8,139.41667175293,83.75,94,0,0,1,0,0,0,1,0,0,0,0
-123.0733168,39.0315039,8,113.583335876465,101.166664123535,95,0,0,0,0,0,0,1,0,0,0,0
-123.0865717,39.2779872,12,143.08332824707,84.8333358764648,96,0,0,0,0,0,0,0,0,0,1,0
-123.0983305,39.3818639,1,129.75,92.5833358764648,97,0,0,0,0,1,0,0,0,0,0,0
-123.0966783,39.8250176,8,131.58332824707,84.5,98,0,0,0,0,0,0,1,0,0,0,0
-123.0578613,40.413496,1,103.416664123535,87.5,99,1,0,0,0,1,0,0,0,0,0,0
-123.0537415,40.7263156,8,134.66667175293,83.3333358764648,100,0,0,0,0,0,0,1,0,0,0,0
-123.068912,40.9727483,1,37.0833320617676,110.833335876465,101,0,0,0,0,1,0,0,0,0,0,0
-123.04811,38.33322,10,128.75,83.1666641235352,102,0,0,0,0,0,0,0,0,1,0,0
