"species","lat","long"
"House_Wren",37.87163,-122.27308
"House_Wren",37.5534237,-121.5735054
"House_Wren",37.515899,-121.8318051
"House_Wren",37.8004255,-122.1547079
"House_Wren",37.8325238,-122.2355292
"House_Wren",37.8740168,-122.237808
"House_Wren",37.5243214,-121.8211288
"House_Wren",37.6053925,-121.6681742
"House_Wren",37.59044,-121.6253
"House_Wren",37.5058789,-121.814872
"House_Wren",37.5156045,-121.5431911
"House_Wren",37.7989568,-122.2603615
"House_Wren",37.5159617,-121.5435772
"House_Wren",37.6098799,-121.6749573
"House_Wren",37.553764,-122.0875025
"House_Wren",37.54824,-121.98907
"House_Wren",37.5960729,-121.7029568
"House_Wren",37.6284527,-122.028392
"House_Wren",37.53919,-121.56587
"House_Wren",37.6155232,-121.8889761
"House_Wren",37.5227971,-121.5493011
"House_Wren",37.5316305,-122.0733619
"House_Wren",37.5851261,-121.6988182
"House_Wren",37.5154339,-121.7452149
"House_Wren",37.6429176,-121.7197609
"House_Wren",37.5355937,-121.8391085
"House_Wren",37.539269,-121.8250751
"House_Wren",37.5159,-121.8318
"House_Wren",37.5897511,-121.6062927
"House_Wren",37.6266033,-121.7037609
"House_Wren",37.549443,-121.9688845
"House_Wren",37.548142,-121.958048
"House_Wren",37.6860534,-122.0638883
"House_Wren",37.6248518,-121.898201
"House_Wren",37.8274804,-122.3125935
"House_Wren",37.5977027,-121.6418588
"House_Wren",37.8035451,-122.2567177
"House_Wren",37.6267745,-121.7565393
"House_Wren",37.807628,-122.1488356
"House_Wren",37.607023,-121.6708019
"House_Wren",37.489746,-121.744606
"House_Wren",37.494747,-121.53433
"House_Wren",37.62556,-121.756096
"House_Wren",37.6779476,-121.9098833
"House_Wren",37.8152454,-122.1775899
"House_Wren",37.594612,-121.875
"House_Wren",37.546721,-121.5696484
"House_Wren",37.7703077,-122.1030807
"House_Wren",37.6276582,-122.0283222
"House_Wren",37.59433,-121.88907
"House_Wren",37.6881675,-121.7030346
"House_Wren",37.8828517,-122.2901538
"House_Wren",37.7392952,-122.2093391
"House_Wren",37.7421628,-122.2112274
"House_Wren",37.64083,-121.58943
"House_Wren",37.6601188,-121.7328072
"House_Wren",37.6623186,-121.8750823
"House_Wren",37.6476409,-121.7198521
"House_Wren",37.8121319,-122.1900594
"House_Wren",37.5238,-121.8468761
"House_Wren",37.58295,-121.692102
"House_Wren",37.6721022,-121.7732763
"House_Wren",37.6419316,-122.1517012
"House_Wren",37.6555577,-121.727829
"House_Wren",37.5478778,-121.9604301
"House_Wren",37.6692148,-121.8406105
"House_Wren",37.6271314,-122.0284832
"House_Wren",37.6444127,-121.782074
"House_Wren",37.552811,-122.08437
"House_Wren",37.55254,-122.08598
"House_Wren",37.6766586,-121.7463837
"House_Wren",37.5141512,-121.8243349
"House_Wren",37.6208389,-121.7485571
"House_Wren",37.8883176,-122.2681814
"House_Wren",37.6325227,-122.0261282
"House_Wren",37.6418641,-121.7164135
"House_Wren",37.5060492,-121.9023013
"House_Wren",37.515402,-121.830501
"House_Wren",37.6562483,-122.1227739
"House_Wren",37.5657772,-121.9971979
"House_Wren",37.7779061,-122.1452665
"House_Wren",37.6714821,-121.8839035
"House_Wren",37.5726781,-122.0133018
"House_Wren",37.5606159,-122.0191675
"House_Wren",37.6206902,-121.7595005
"House_Wren",37.5240224,-121.8230581
"House_Wren",37.686676,-121.6400671
"House_Wren",37.6395363,-121.7144233
"House_Wren",37.6143674,-121.8714237
"House_Wren",37.7473997,-121.7071711
"House_Wren",37.6116095,-121.8743366
"House_Wren",37.54134,-121.56645
"House_Wren",37.6283719,-121.8782043
"House_Wren",37.6351693,-121.7110062
"House_Wren",37.6881131,-121.5971947
"House_Wren",37.5157001,-121.8319738
"House_Wren",37.6277092,-122.0282471
"House_Wren",37.524213,-121.8230495
"House_Wren",37.6479467,-121.8644714
"House_Wren",37.6818314,-121.7680588
"House_Wren",37.6081801,-122.0175076
"House_Wren",37.7028372,-121.6330719
"House_Wren",37.6143674,-121.7479134
"House_Wren",37.82801,-122.1910894
"House_Wren",37.8995359,-122.2596574
"House_Wren",37.482932,-121.532285
"House_Wren",37.6465875,-122.1467042
"House_Wren",37.8339884,-122.2391224
"House_Wren",37.8020531,-122.1447301
"House_Wren",37.8709227,-122.3150389
"House_Wren",37.6665566,-121.8560064
"House_Wren",37.6011762,-121.6996765
"House_Wren",37.5158533,-121.8119377
"House_Wren",37.86613,-122.239573
"House_Wren",37.7109518,-121.9718456
"House_Wren",37.5544444,-121.5747222
"House_Wren",37.5159043,-121.8322152
"House_Wren",37.690947,-121.593378
"House_Wren",37.598333,-121.721
"House_Wren",37.6221773,-121.7593074
"House_Wren",37.5656496,-121.6847017
"House_Wren",37.7773973,-122.1478415
"House_Wren",37.6127016,-122.0210695
"House_Wren",37.8711948,-122.2388488
"House_Wren",37.6957744,-122.0635986
"House_Wren",37.8126997,-122.1883535
"House_Wren",37.7955424,-122.2898483
"House_Wren",37.5538272,-122.0914197
"House_Wren",37.890057,-122.32462
"House_Wren",37.8954467,-122.3049974
"House_Wren",37.4951201,-121.9796026
"House_Wren",37.5300538,-122.0708051
"House_Wren",37.783052,-122.2875479
"House_Wren",37.826074,-122.2294041
"House_Wren",37.5533565,-122.0907479
"House_Wren",37.7008289,-121.5839425
